,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45889,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,10,53,60,5,14,28,45,60,35,39
45890,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,10,62,60,5,23,39,60,60,39,43
45891,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,10,102,120,5,13,59,75,60,34,40
45892,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,10,97,60,7,12,66,90,60,33,37
45893,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,10,112,120,27,25,59,105,120,32,40
45894,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,10,104,120,21,33,56,105,120,30,35
45895,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,10,118,120,6,15,57,75,60,30,37
45896,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,10,71,60,5,29,42,75,60,32,40
45897,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,10,196,180,56,0,92,180,120,21,26
45898,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,11,58,60,15,36,31,60,60,17,24
45899,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,11,94,60,22,16,29,60,60,14,18
45900,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,11,56,60,6,16,32,60,60,30,35
45901,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,11,91,120,8,28,61,90,120,25,29
45902,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,11,87,60,6,17,48,75,60,40,45
45903,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,11,77,60,12,16,45,75,60,31,33
45904,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,11,55,60,6,15,33,60,60,35,39
45905,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,11,52,60,5,13,28,45,60,35,39
45906,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,11,63,60,6,26,39,75,60,38,43
45907,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,11,106,120,7,13,59,75,60,34,40
45908,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,11,106,60,16,9,66,90,60,32,37
45909,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,11,108,120,25,25,59,105,120,31,40
45910,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,11,110,120,25,31,56,105,120,31,35
45911,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,11,112,120,6,14,57,75,60,31,37
45912,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,11,69,60,5,26,42,75,60,33,40
45913,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,11,190,180,53,0,92,180,120,21,26
45914,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,12,64,60,22,30,31,60,60,18,24
45915,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,12,89,60,19,16,29,60,60,14,18
45916,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,12,56,60,6,17,32,60,60,30,35
45917,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,12,93,120,15,26,61,105,120,25,29
45918,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,12,88,60,5,15,48,75,60,40,45
45919,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,12,74,60,11,15,45,75,60,30,33
45920,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,12,53,60,5,14,33,45,60,34,39
45921,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,12,52,60,5,15,28,45,60,35,39
45922,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,12,64,60,7,25,39,75,60,38,43
45923,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,12,104,120,6,12,59,75,60,35,40
45924,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,12,98,60,11,10,66,90,60,33,37
45925,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,12,99,120,17,18,59,90,120,33,40
45926,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,12,101,120,23,31,56,105,120,30,35
45927,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,12,115,120,6,14,57,75,60,31,37
45928,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,12,70,60,5,29,42,75,60,33,40
45929,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,12,196,180,57,0,92,180,120,21,26
45930,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,13,56,60,16,38,31,60,60,18,24
45931,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,13,96,60,23,13,29,60,60,14,18
45932,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,13,55,60,7,18,32,60,60,30,35
45933,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,13,92,120,9,25,61,90,120,26,29
45934,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,13,83,60,5,15,48,75,60,41,45
45935,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,13,71,60,8,16,45,75,60,31,33
45936,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,13,54,60,5,15,33,60,60,35,39
45937,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,13,53,60,5,15,28,45,60,35,39
